                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4652,                 4.4887,                 3.8203,                 2.0787,                0.21487,                 0.5825,                 0.2812,                0.15571,                0.20944,                0.57327,                0.27275,                0.12863,                 1.4506,                  2.162,                 3.6395,                 1.3638,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.3474,                 2.4984,                 1.7173,                 1.2826,                0.46005,                0.66581,                0.56879,                0.37654,                0.45354,                0.66045,                 0.5611,                0.30922,                 1.1361,                 1.8645,                 1.8189,                 1.0953,               0.066334,              0.0033337,              0.0033337
                      2,                  1.182,                 2.1003,                 1.2814,                 1.1411,                0.44112,                0.63161,                0.58696,                 0.3875,                0.45783,                 0.6133,                0.58654,                0.32625,                 1.1993,                 1.7862,                 1.6868,                 1.0959,               0.048491,              0.0044912,              0.0044912
                      3,                 1.1653,                 1.9439,                 1.1263,                 1.1045,                0.69448,                0.74768,                0.82738,                0.55591,                0.69972,                0.74846,                0.82391,                0.49219,                 1.1186,                 1.6181,                 1.1912,                 1.0696,               0.030272,              0.0052725,              0.0052725
                      4,                 1.1293,                 1.8554,                0.96743,                 1.1041,                0.85004,                0.84118,                0.90863,                0.61812,                0.84995,                0.84128,                0.90797,                0.57062,                 1.0613,                 1.4827,                0.89408,                 1.0298,               0.011678,              0.0056776,              0.0056776
                      5,                 1.1655,                 1.8702,                0.91653,                  1.092,                0.80879,                0.81182,                0.90536,                0.58822,                0.80704,                0.81006,                0.90306,                0.52701,                 1.1788,                 1.5419,                0.92606,                 1.0654,                0.00505,                0.00505,                0.00505
                      6,                  1.127,                 1.7591,                0.84972,                 1.0901,                0.82486,                0.86365,                0.90141,                0.59205,                0.82759,                0.86559,                 0.9054,                0.57662,                  1.129,                 1.5553,                0.87309,                 1.0982,                0.00505,                0.00505,                0.00505
                      7,                 1.0935,                 1.7062,                0.80256,                 1.0821,                0.89105,                0.88258,                0.93079,                0.62746,                0.89518,                0.88732,                0.93826,                0.54503,                 1.1006,                 1.4519,                0.79457,                 1.0969,                0.00406,                0.00406,                0.00406
                      8,                 1.0121,                 1.5922,                0.73404,                 1.0514,                0.89695,                0.89242,                0.95071,                0.67965,                0.89779,                0.89326,                0.95059,                0.59854,                 1.0042,                 1.4229,                0.73523,                 1.0555,                0.00307,                0.00307,                0.00307
                      9,                0.99337,                 1.5752,                0.69178,                 1.0388,                0.91694,                0.91196,                0.96015,                0.68061,                 0.9202,                0.91386,                0.96265,                0.60859,                 1.0111,                  1.446,                0.70074,                 1.0607,                0.00208,                0.00208,                0.00208
