                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.482,                 4.5094,                 4.0418,                 2.1524,                0.33023,                0.45557,                 0.2416,                0.13148,                0.33118,                 0.4504,                0.22329,                0.11025,                 1.5199,                   2.23,                 3.4905,                 1.4992,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.2963,                  2.319,                 1.7681,                 1.3283,                0.45198,                0.70344,                 0.5846,                0.40086,                0.45374,                0.70604,                0.58148,                0.33889,                 1.0967,                  1.756,                 2.4546,                 1.1376,               0.066334,              0.0033337,              0.0033337
                      2,                  1.129,                 2.0121,                 1.2821,                 1.1693,                0.41004,                0.52109,                0.50217,                0.34683,                0.41564,                0.52288,                 0.5038,                0.29397,                 1.1531,                 1.6828,                 1.5508,                 1.1114,               0.048491,              0.0044912,              0.0044912
                      3,                 1.1029,                 1.8291,                 1.1916,                 1.1072,                0.77495,                 0.8014,                0.86209,                0.56128,                0.78079,                0.79662,                0.86389,                0.54319,                 1.1727,                 1.6379,                 1.0251,                 1.1173,               0.030272,              0.0052725,              0.0052725
                      4,                  1.102,                 1.7467,                 0.9503,                 1.1149,                0.72598,                0.74478,                0.83058,                0.54034,                0.72843,                0.74752,                0.82954,                 0.5164,                 1.1567,                 1.6023,                 1.1893,                 1.0967,               0.011678,              0.0056776,              0.0056776
                      5,                 1.0694,                 1.7832,                0.86294,                 1.0895,                0.81157,                0.86145,                0.93408,                0.62296,                0.80912,                0.86069,                0.93397,                0.59056,                 1.0806,                 1.4617,                 1.0326,                 1.0588,                0.00505,                0.00505,                0.00505
                      6,                 1.0779,                 1.6806,                0.83154,                 1.0839,                0.88807,                0.86807,                0.92964,                0.64014,                0.88792,                0.86459,                0.93032,                0.57797,                 1.0416,                 1.6031,                0.79892,                  1.105,                0.00505,                0.00505,                0.00505
                      7,                 1.0469,                 1.6379,                0.74492,                 1.0834,                0.90635,                 0.8966,                0.95288,                0.66019,                0.90981,                0.89929,                0.95424,                0.56662,                 1.0423,                 1.3787,                 0.7428,                 1.0926,                0.00406,                0.00406,                0.00406
                      8,                 0.9738,                 1.5292,                0.67242,                 1.0513,                0.92184,                 0.9046,                0.95635,                0.69958,                0.92307,                0.90522,                0.95809,                0.61701,                0.94341,                 1.3742,                0.68721,                 1.0754,                0.00307,                0.00307,                0.00307
                      9,                0.93944,                 1.4921,                0.63152,                 1.0403,                0.92917,                0.93171,                0.96543,                0.70615,                0.92649,                0.92889,                0.96198,                0.63543,                0.93817,                 1.3745,                0.64605,                 1.0713,                0.00208,                0.00208,                0.00208
